,,,,,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhD,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kWhR,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhD,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR,kVarhR
,,,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,9/01/2022,P,554.4,590.4,781.2,871.2,1152,997.2,777.6,756,766.8,622.8,640.8,885.6,928.8,975.6,954,882,835.2,946.8,936,867.6,1152,1026,954,1000.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.4,190.8,309.6,363.6,424.8,385.2,345.6,288,277.2,270,306,414,385.2,396,439.2,399.6,399.6,385.2,435.6,392.4,486,406.8,439.2,471.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,9/02/2022,P,896.4,1051.2,1177.2,1105.2,1094.4,943.2,1069.2,1155.6,1159.2,1173.6,1058.4,1216.8,968.4,961.2,1008,946.8,1069.2,979.2,1108.8,1126.8,1162.8,1000.8,1198.8,1155.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,432,493.2,471.6,428.4,352.8,453.6,504,504,493.2,399.6,478.8,356.4,367.2,406.8,367.2,489.6,482.4,504,500.4,489.6,374.4,496.8,507.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,9/03/2022,P,1119.6,1094.4,1090.8,1252.8,1130.4,860.4,932.4,1008,1137.6,1033.2,1054.8,1108.8,1116,1177.2,835.2,1026,993.6,1040.4,1018.8,1000.8,972,946.8,1094.4,864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478.8,482.4,417.6,543.6,511.2,399.6,356.4,417.6,493.2,428.4,432,468,475.2,504,403.2,414,446.4,392.4,432,450,442.8,378,500.4,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,9/04/2022,P,957.6,903.6,921.6,878.4,702,201.6,118.8,122.4,118.8,108,136.8,133.2,108,104.4,97.2,97.2,93.6,100.8,126,133.2,208.8,838.8,1015.2,1137.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432,392.4,381.6,432,316.8,82.8,21.6,21.6,18,14.4,25.2,36,14.4,18,14.4,18,18,14.4,18,21.6,75.6,356.4,442.8,507.6,0,0,0,0,0,0,0,0,3.6,0,0,0,0,3.6,0,0,0,0,3.6,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,9/05/2022,P,1094.4,874.8,853.2,849.6,961.2,759.6,626.4,489.6,759.6,831.6,709.2,799.2,669.6,417.6,637.2,759.6,824.4,831.6,943.2,601.2,763.2,1047.6,1065.6,1195.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428.4,356.4,313.2,378,388.8,291.6,212.4,201.6,327.6,396,262.8,302.4,306,144,237.6,270,273.6,298.8,378,306,392.4,460.8,450,496.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,9/06/2022,P,1018.8,925.2,1119.6,1177.2,1155.6,1058.4,982.8,968.4,957.6,1033.2,1098,964.8,1072.8,748.8,813.6,810,1087.2,1044,1072.8,1303.2,993.6,1119.6,975.6,914.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410.4,370.8,496.8,511.2,500.4,428.4,403.2,442.8,442.8,457.2,478.8,374.4,464.4,378,345.6,280.8,475.2,446.4,385.2,540,385.2,453.6,370.8,370.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,9/07/2022,P,1216.8,1166.4,1058.4,936,1036.8,752.4,810,716.4,727.2,658.8,1040.4,1155.6,1108.8,907.2,1170,1303.2,1209.6,1008,1288.8,1119.6,853.2,939.6,1058.4,1105.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460.8,460.8,442.8,417.6,446.4,280.8,302.4,288,313.2,262.8,417.6,486,468,363.6,482.4,507.6,504,432,532.8,464.4,309.6,342,388.8,471.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,9/08/2022,P,975.6,964.8,990,1314,1155.6,1015.2,903.6,856.8,658.8,594,262.8,129.6,514.8,849.6,1112.4,950.4,1029.6,1188,1382.4,1141.2,1270.8,1231.2,1134,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388.8,406.8,417.6,543.6,432,396,396,363.6,226.8,205.2,97.2,46.8,201.6,334.8,414,345.6,363.6,475.2,543.6,489.6,529.2,493.2,475.2,478.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frt00771,ITALCOL FUNZA PRINCIPAL,38289435,9/09/2022,P,1256.4,993.6,946.8,1213.2,1036.8,802.8,702,579.6,788.4,889.2,975.6,727.2,615.6,680.4,954,1166.4,1090.8,1224,1072.8,1152,1324.8,1087.2,1098,1033.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550.8,439.2,363.6,507.6,406.8,280.8,309.6,223.2,280.8,270,327.6,270,241.2,356.4,471.6,496.8,507.6,540,421.2,514.8,568.8,486,428.4,399.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
